pitcher,pitch_type,pitch_name,family,pitches,usage,whiff,putaway,velo,zone_pct,contact_pct,exit_velo
656302,ST,Sweeper,Breaking,107,0.04063805545005697,0.22857142857142856,0.1,83.54018691588786,0.3644859813084112,0.7714285714285715,78.90769230769232
656427,FF,4-Seam FB,Fastball,877,0.4896705750977108,0.19285714285714287,0.16470588235294117,92.7279361459521,0.5587229190421893,0.8071428571428572,84.13365079365079
656427,SL,Slider,Breaking,436,0.2434394193188163,0.33663366336633666,0.3037974683544304,85.04655963302753,0.41284403669724773,0.6633663366336633,82.36083333333333
656427,KC,Knuckle-Curve,Breaking,341,0.1903964265773311,0.3815789473684211,0.33783783783783783,78.06363636363635,0.30498533724340177,0.618421052631579,77.47142857142858
656427,SI,Sinker,Fastball,79,0.044109436069235064,0.23076923076923078,0.0,90.92658227848099,0.3037974683544304,0.7692307692307692,83.745
656427,CH,Changeup,Offspeed,58,0.03238414293690676,0.3125,0.0,85.5896551724138,0.1206896551724138,0.6875,73.92727272727274
656457,SI,Sinker,Fastball,39,0.38613861386138615,0.047619047619047616,0.0,90.0769230769231,0.6153846153846154,0.9523809523809523,88.25294117647059
656457,ST,Sweeper,Breaking,35,0.3465346534653465,0.3333333333333333,0.2222222222222222,79.98857142857142,0.4,0.6666666666666667,76.43333333333334
656464,SL,Slider,Breaking,452,0.4865446716899892,0.42735042735042733,0.3953488372093023,85.47809734513274,0.3938053097345133,0.5726495726495726,84.29761904761905
656464,FF,4-Seam FB,Fastball,427,0.4596340150699677,0.17703349282296652,0.16666666666666666,95.53887587822014,0.49414519906323184,0.8229665071770335,84.19937888198758
656464,SI,Sinker,Fastball,45,0.04843918191603875,0.1111111111111111,0.0,94.74666666666666,0.4444444444444444,0.8888888888888888,74.95217391304348
656492,FC,Cutter,Fastball,801,0.31925069748903945,0.20302375809935205,0.18439716312056736,88.4079900124844,0.6192259675405742,0.796976241900648,80.6154761904762
656492,FF,4-Seam FB,Fastball,426,0.1697887604623356,0.1875,0.17777777777777778,91.55234741784038,0.528169014084507,0.8125,82.61512605042017
656492,ST,Sweeper,Breaking,362,0.1442805898764448,0.30246913580246915,0.273972602739726,80.05911602209945,0.42265193370165743,0.6975308641975309,82.59727272727274
656492,CH,Changeup,Offspeed,278,0.11080111598246313,0.3333333333333333,0.2777777777777778,82.39640287769784,0.3129496402877698,0.6666666666666667,80.5861111111111
656492,SI,Sinker,Fastball,242,0.09645277002789956,0.17543859649122806,0.047619047619047616,91.31198347107438,0.4793388429752066,0.8245614035087719,77.83522727272727
656492,CU,Curveball,Breaking,238,0.09485850936628139,0.24324324324324326,0.24489795918367346,77.82857142857142,0.42016806722689076,0.7567567567567568,84.40136986301368
656492,FS,Splitter,Offspeed,162,0.06456755679553607,0.2823529411764706,0.2564102564102564,81.36604938271604,0.18518518518518517,0.7176470588235294,79.21525423728815
656529,FF,4-Seam FB,Fastball,200,0.3241491085899514,0.29213483146067415,0.2,94.39200000000001,0.475,0.7078651685393258,79.21666666666667
656529,SI,Sinker,Fastball,164,0.26580226904376014,0.2,0.26666666666666666,93.94817073170732,0.5609756097560976,0.8,80.73207547169811
656529,SL,Slider,Breaking,147,0.23824959481361427,0.2876712328767123,0.15384615384615385,87.81836734693877,0.3877551020408163,0.7123287671232876,83.11632653061224
656529,CU,Curveball,Breaking,106,0.17179902755267423,0.38235294117647056,0.4375,80.38584905660377,0.33962264150943394,0.6176470588235294,80.945
656546,SL,Slider,Breaking,461,0.43614001892147586,0.4798206278026906,0.38144329896907214,86.55357917570498,0.40130151843817785,0.5201793721973094,79.30510204081634
656546,FF,4-Seam FB,Fastball,327,0.3093661305581835,0.25609756097560976,0.225,96.41100917431194,0.5015290519877675,0.7439024390243902,82.49059829059829
656546,FS,Splitter,Offspeed,220,0.20813623462630085,0.3305084745762712,0.2564102564102564,89.43045454545454,0.35454545454545455,0.6694915254237288,81.85555555555555
656546,SI,Sinker,Fastball,49,0.046357615894039736,0.2692307692307692,0.6666666666666666,96.0857142857143,0.6122448979591837,0.7307692307692308,83.8294117647059
656550,SL,Slider,Breaking,793,0.3717768401312705,0.3870192307692308,0.35911602209944754,85.2860025220681,0.38461538461538464,0.6129807692307692,83.69491525423729
656550,FF,4-Seam FB,Fastball,605,0.28363806844819506,0.15734265734265734,0.14285714285714285,94.15735537190082,0.5801652892561984,0.8426573426573427,85.80517241379312
656550,SI,Sinker,Fastball,244,0.11439287388654477,0.1553398058252427,0.0,92.98319672131149,0.5081967213114754,0.8446601941747574,88.09871794871795
656550,FC,Cutter,Fastball,189,0.08860759493670886,0.15730337078651685,0.0,92.05978835978837,0.6031746031746031,0.8426966292134832,84.88676470588237
656550,CU,Curveball,Breaking,166,0.07782466010314111,0.35714285714285715,0.39473684210526316,82.8132530120482,0.2891566265060241,0.6428571428571428,85.568
656550,CH,Changeup,Offspeed,136,0.0637599624941397,0.21052631578947367,0.26666666666666666,89.21838235294118,0.3014705882352941,0.7894736842105263,81.38205128205128
656605,FF,4-Seam FB,Fastball,658,0.3219178082191781,0.1728395061728395,0.13392857142857142,93.32644376899697,0.5364741641337386,0.8271604938271605,84.0596837944664
656605,SI,Sinker,Fastball,365,0.17857142857142858,0.15,0.12903225806451613,92.32054794520548,0.5589041095890411,0.85,86.97301587301587
656605,ST,Sweeper,Breaking,328,0.16046966731898238,0.25903614457831325,0.2608695652173913,82.04725609756098,0.42378048780487804,0.7409638554216867,80.58135593220338
656605,CU,Curveball,Breaking,188,0.09197651663405088,0.3684210526315789,0.4838709677419355,77.80744680851063,0.3191489361702128,0.631578947368421,80.78125
656605,CH,Changeup,Offspeed,183,0.08953033268101761,0.24705882352941178,0.3,88.74918032786887,0.4098360655737705,0.7529411764705882,83.8490909090909
656605,SL,Slider,Breaking,182,0.08904109589041095,0.21505376344086022,0.20689655172413793,87.18076923076924,0.47802197802197804,0.7849462365591398,83.95571428571428
656605,FC,Cutter,Fastball,140,0.0684931506849315,0.20512820512820512,0.16666666666666666,89.72428571428573,0.45714285714285713,0.7948717948717949,80.30819672131148
656638,SL,Slider,Breaking,324,0.32432432432432434,0.3793103448275862,0.24324324324324326,87.90740740740739,0.4382716049382716,0.6206896551724138,83.0483870967742
656638,SI,Sinker,Fastball,234,0.23423423423423423,0.18478260869565216,0.3,95.65598290598291,0.5384615384615384,0.8152173913043479,86.58382352941177
656638,CH,Changeup,Offspeed,215,0.21521521521521522,0.3047619047619048,0.3333333333333333,90.68837209302326,0.35348837209302325,0.6952380952380952,78.51515151515152
656638,FC,Cutter,Fastball,117,0.11711711711711711,0.14,0.0,91.98888888888888,0.49572649572649574,0.86,82.7925
656638,FF,4-Seam FB,Fastball,108,0.10810810810810811,0.16326530612244897,0.14285714285714285,95.81296296296296,0.4537037037037037,0.8367346938775511,87.06923076923077
656641,FF,4-Seam FB,Fastball,550,0.538160469667319,0.2052980132450331,0.17829457364341086,94.56472727272727,0.5290909090909091,0.794701986754967,84.32977777777778
656641,CH,Changeup,Offspeed,196,0.1917808219178082,0.44144144144144143,0.32558139534883723,85.72602040816327,0.3979591836734694,0.5585585585585586,78.15593220338982
656641,SL,Slider,Breaking,192,0.18786692759295498,0.44565217391304346,0.23333333333333334,85.42291666666667,0.4947916666666667,0.5543478260869565,77.84772727272728
