batter,pitch_type,pitch_name,family,pitches,whiff,contact,slg,xwoba,exit_velo,zone_pct,pa,ba,obp,iso,bb_pct,k_pct,swstr_pct,hr
686797,CU,Curveball,Breaking,190,0.27380952380952384,0.7261904761904762,0.21621621621621623,0.1419973611111111,83.47090909090909,0.48947368421052634,38,0.10810810810810811,0.13157894736842105,0.10810810810810811,0.02631578947368421,0.3157894736842105,0.12105263157894737,1
686797,ST,Sweeper,Breaking,107,0.18867924528301888,0.8113207547169812,0.14285714285714285,0.30657928,80.155,0.4392523364485981,26,0.14285714285714285,0.3076923076923077,0.0,0.11538461538461539,0.19230769230769232,0.09345794392523364,0
686797,FC,Cutter,Fastball,106,0.12121212121212122,0.8787878787878788,0.9642857142857143,0.4523302413793104,87.70769230769233,0.6037735849056604,31,0.4642857142857143,0.5161290322580645,0.5,0.06451612903225806,0.03225806451612903,0.07547169811320754,3
686797,FS,Splitter,Offspeed,47,0.23809523809523808,0.7619047619047619,0.3333333333333333,0.08625,78.0125,0.2978723404255319,12,0.25,0.25,0.08333333333333331,0.0,0.08333333333333333,0.10638297872340426,0
686797,KC,Knuckle-Curve,Breaking,31,0.17647058823529413,0.8235294117647058,0.8,0.1496,82.00769230769232,0.3548387096774194,5,0.4,0.4,0.4,0.0,0.2,0.0967741935483871,0
686823,FF,4-Seam FB,Fastball,51,0.0625,0.9375,0.0,0.12666666666666668,78.79615384615384,0.47058823529411764,11,0.0,0.0,0.0,0.0,0.09090909090909091,0.0392156862745098,0
686894,FF,4-Seam FB,Fastball,110,0.3333333333333333,0.6666666666666667,0.7619047619047619,0.2934288500000001,84.54827586206895,0.4818181818181818,25,0.3333333333333333,0.44,0.42857142857142855,0.12,0.32,0.14545454545454545,1
686894,SI,Sinker,Fastball,79,0.0625,0.9375,0.6470588235294118,0.26738733333333337,83.63600000000001,0.5443037974683544,20,0.4117647058823529,0.47368421052631576,0.23529411764705888,0.1,0.05,0.02531645569620253,1
686894,SL,Slider,Breaking,55,0.2916666666666667,0.7083333333333333,0.0,0.279162,81.16153846153847,0.45454545454545453,7,0.0,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.12727272727272726,0
686894,CH,Changeup,Offspeed,41,0.3333333333333333,0.6666666666666667,0.75,0.47362928571428575,80.5909090909091,0.36585365853658536,14,0.4166666666666667,0.5,0.3333333333333333,0.14285714285714285,0.2857142857142857,0.14634146341463414,1
686894,ST,Sweeper,Breaking,39,0.4666666666666667,0.5333333333333333,0.1,0.2582011111111111,76.4,0.358974358974359,13,0.1,0.25,0.0,0.15384615384615385,0.46153846153846156,0.1794871794871795,0
686894,FC,Cutter,Fastball,29,0.36363636363636365,0.6363636363636364,1.25,0.6801349999999999,74.65714285714284,0.41379310344827586,7,0.5,0.7142857142857143,0.75,0.42857142857142855,0.14285714285714285,0.13793103448275862,1
686894,CU,Curveball,Breaking,27,0.46153846153846156,0.5384615384615384,0.2222222222222222,0.04842857142857143,84.03333333333335,0.48148148148148145,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.5555555555555556,0.2222222222222222,0
686948,FF,4-Seam FB,Fastball,465,0.18025751072961374,0.8197424892703863,0.5567010309278351,0.4192709902912621,86.13743016759777,0.5182795698924731,110,0.30927835051546393,0.39090909090909093,0.24742268041237114,0.10909090909090909,0.18181818181818182,0.09032258064516129,7
686948,SI,Sinker,Fastball,309,0.11971830985915492,0.8802816901408451,0.5362318840579711,0.4670505764705882,86.52905982905985,0.5566343042071198,85,0.2898550724637681,0.4117647058823529,0.24637681159420294,0.15294117647058825,0.047058823529411764,0.05501618122977346,5
686948,SL,Slider,Breaking,227,0.4015748031496063,0.5984251968503937,0.38181818181818183,0.2211984259259259,83.33055555555555,0.4052863436123348,58,0.21818181818181817,0.25862068965517243,0.16363636363636366,0.05172413793103448,0.3793103448275862,0.22466960352422907,2
686948,CH,Changeup,Offspeed,177,0.2804878048780488,0.7195121951219512,0.35714285714285715,0.33877651999999997,83.23518518518519,0.3050847457627119,50,0.2619047619047619,0.38,0.09523809523809523,0.1,0.28,0.12994350282485875,1
686948,ST,Sweeper,Breaking,137,0.22857142857142856,0.7714285714285715,0.4838709677419355,0.401506935483871,80.31,0.44525547445255476,34,0.2903225806451613,0.35294117647058826,0.1935483870967742,0.08823529411764706,0.2647058823529412,0.11678832116788321,2
686948,FC,Cutter,Fastball,131,0.27692307692307694,0.7230769230769231,0.5384615384615384,0.40362589285714284,84.4511111111111,0.45038167938931295,31,0.34615384615384615,0.45161290322580644,0.1923076923076923,0.16129032258064516,0.12903225806451613,0.13740458015267176,1
686948,CU,Curveball,Breaking,95,0.30952380952380953,0.6904761904761905,0.5,0.4749837307692308,87.02799999999999,0.42105263157894735,27,0.25,0.3333333333333333,0.25,0.07407407407407407,0.25925925925925924,0.1368421052631579,2
686948,FS,Splitter,Offspeed,65,0.11627906976744186,0.8837209302325582,0.4444444444444444,0.33634735294117646,79.17428571428573,0.4153846153846154,19,0.2777777777777778,0.3157894736842105,0.16666666666666663,0.05263157894736842,0.10526315789473684,0.07692307692307693,1
686948,KC,Knuckle-Curve,Breaking,37,0.5263157894736842,0.4736842105263158,0.1,0.10080954545454546,68.82222222222222,0.21621621621621623,11,0.1,0.18181818181818182,0.0,0.09090909090909091,0.6363636363636364,0.2702702702702703,0
687093,FF,4-Seam FB,Fastball,323,0.20945945945945946,0.7905405405405406,0.484375,0.3617464864864865,83.56814159292034,0.5727554179566563,74,0.234375,0.3108108108108108,0.25,0.10810810810810811,0.22972972972972974,0.09597523219814241,4
687093,SI,Sinker,Fastball,216,0.14563106796116504,0.854368932038835,0.28846153846153844,0.330404,82.20843373493976,0.5462962962962963,60,0.23076923076923078,0.3333333333333333,0.057692307692307654,0.13333333333333333,0.08333333333333333,0.06944444444444445,0
687093,SL,Slider,Breaking,146,0.3287671232876712,0.6712328767123288,0.5588235294117647,0.347393972972973,85.70444444444445,0.4246575342465753,37,0.35294117647058826,0.40540540540540543,0.20588235294117646,0.05405405405405406,0.1891891891891892,0.1643835616438356,1
687093,CH,Changeup,Offspeed,96,0.16363636363636364,0.8363636363636364,0.27586206896551724,0.31026349999999997,78.26136363636364,0.4375,31,0.2413793103448276,0.26666666666666666,0.03448275862068964,0.03225806451612903,0.0967741935483871,0.09375,0
687093,FC,Cutter,Fastball,86,0.1875,0.8125,0.35714285714285715,0.38287066666666664,86.80384615384614,0.5697674418604651,18,0.35714285714285715,0.3888888888888889,0.0,0.05555555555555555,0.05555555555555555,0.06976744186046512,0
687093,CU,Curveball,Breaking,83,0.23809523809523808,0.7619047619047619,0.34782608695652173,0.25822688,81.21612903225804,0.37349397590361444,25,0.2608695652173913,0.32,0.08695652173913043,0.04,0.16,0.12048192771084337,0
