player_id,name,pa,brl_pa,brl_pct,hardhit,avg_ev,slg,xslg,xiso,woba,xwoba
803011,Sam Antonacci,377,4.5,6.2,36.4,87.7,0.41,0.418,0.132,0.347,0.352
672960,Kazuma Okamoto,462,7.6,12.8,44.7,90.5,0.439,0.416,0.204,0.323,0.309
663586,Austin Riley,460,6.7,11.4,44.0,90.8,0.362,0.383,0.17400000000000002,0.293,0.296
686948,Drake Baldwin,410,9.5,14.3,51.3,91.7,0.458,0.511,0.23099999999999998,0.359,0.38
695506,Jac Caglianone,414,9.2,14.0,55.7,93.0,0.453,0.493,0.22099999999999997,0.331,0.353
662139,Daulton Varsho,379,4.5,6.3,37.0,86.3,0.37,0.357,0.12,0.301,0.294
663757,Trent Grisham,379,6.6,9.3,44.2,90.4,0.379,0.428,0.181,0.306,0.338
608070,José Ramírez,364,4.1,5.6,41.4,89.2,0.388,0.432,0.15000000000000002,0.314,0.349
691594,Javier Sanoja,308,1.6,1.9,31.0,86.8,0.403,0.33,0.07200000000000001,0.31,0.277
543760,Marcus Semien,380,5.0,7.1,36.0,86.5,0.359,0.399,0.15200000000000002,0.279,0.308
605141,Mookie Betts,330,6.1,7.5,38.6,90.6,0.397,0.433,0.15599999999999997,0.298,0.33
678662,Ezequiel Tovar,389,4.4,6.4,34.5,87.5,0.335,0.363,0.142,0.256,0.274
673548,Seiya Suzuki,434,6.2,10.2,39.1,88.9,0.476,0.422,0.174,0.363,0.336
682829,Elly De La Cruz,427,8.9,14.4,51.9,94.0,0.501,0.488,0.21299999999999997,0.37,0.368
805779,Jacob Wilson,312,2.2,2.7,28.1,84.1,0.392,0.353,0.08499999999999996,0.304,0.288
695657,Colson Montgomery,457,7.0,12.2,41.0,88.9,0.445,0.419,0.205,0.32,0.31
656775,Cedric Mullins,380,2.6,3.8,31.2,88.0,0.357,0.296,0.11699999999999999,0.283,0.25
543807,George Springer,373,5.1,7.3,38.9,88.5,0.398,0.38,0.149,0.316,0.308
664023,Ian Happ,477,6.3,11.5,41.2,89.2,0.404,0.393,0.194,0.321,0.311
